Model,Task,Accuracy,Stderr
google__gemma-3-12b-it/gemma-12b-results/base_model,bigbench_logical_sequence_multiple_choice,0.923077,0.043227
google__gemma-3-12b-it/gemma-12b-results/base_model,bigbench_odd_one_out_multiple_choice,0.825581,0.041159
google__gemma-3-12b-it/gemma-12b-results/base_model,bigbench_odd_one_out_multiple_choice,0.825581,0.041159
google_gemma-3-12b-it_lora_trAll_lora_r3_lr1e-4,bigbench_analogical_similarity_multiple_choice,0.309598,0.025765
google_gemma-3-12b-it_lora_trAll_lora_r3_lr1e-4,bigbench_analytic_entailment_multiple_choice,0.428571,0.059576
google_gemma-3-12b-it_lora_trAll_lora_r3_lr1e-4,bigbench_causal_judgment_multiple_choice,0.542105,0.036240
google_gemma-3-12b-it_lora_trAll_lora_r3_lr1e-4,bigbench_cause_and_effect_multiple_choice,0.816993,0.031363
google_gemma-3-12b-it_lora_trAll_lora_r3_lr1e-4,bigbench_common_morpheme_multiple_choice,0.600000,0.069985
google_gemma-3-12b-it_lora_trAll_lora_r3_lr1e-4,bigbench_conceptual_combinations_multiple_choice,0.757282,0.042450
google_gemma-3-12b-it_lora_trAll_lora_r3_lr1e-4,bigbench_logical_deduction_multiple_choice,0.394000,0.012621
google_gemma-3-12b-it_lora_trAll_lora_r3_lr1e-4,bigbench_logical_sequence_multiple_choice,0.769231,0.068348
google_gemma-3-12b-it_lora_trAll_lora_r3_lr1e-4,bigbench_odd_one_out_multiple_choice,0.790698,0.044125
google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-4,bigbench_analogical_similarity_multiple_choice,0.136223,0.019116
google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-4,bigbench_analytic_entailment_multiple_choice,0.428571,0.059576
google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-4,bigbench_causal_judgment_multiple_choice,0.478947,0.036337
google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-4,bigbench_cause_and_effect_multiple_choice,0.575163,0.040094
google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-4,bigbench_common_morpheme_multiple_choice,0.320000,0.066639
google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-4,bigbench_conceptual_combinations_multiple_choice,0.213592,0.040580
google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-4,bigbench_logical_deduction_multiple_choice,0.198667,0.010305
google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-4,bigbench_logical_sequence_multiple_choice,0.102564,0.049216
google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-4,bigbench_odd_one_out_multiple_choice,0.255814,0.047325
google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-5,bigbench_analogical_similarity_multiple_choice,0.362229,0.026785
google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-5,bigbench_analytic_entailment_multiple_choice,0.428571,0.059576
google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-5,bigbench_causal_judgment_multiple_choice,0.536842,0.036271
google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-5,bigbench_cause_and_effect_multiple_choice,0.849673,0.028988
google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-5,bigbench_common_morpheme_multiple_choice,0.680000,0.066639
google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-5,bigbench_conceptual_combinations_multiple_choice,0.766990,0.041858
google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-5,bigbench_logical_deduction_multiple_choice,0.386667,0.012578
google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-5,bigbench_logical_sequence_multiple_choice,0.820513,0.062254
google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-5,bigbench_odd_one_out_multiple_choice,0.802326,0.043196
google_gemma-3-12b-it_uiortholora_trAll_uiortholora_s1024_v16_lr1e-4,bigbench_analogical_similarity_multiple_choice,0.241486,0.023851
google_gemma-3-12b-it_uiortholora_trAll_uiortholora_s1024_v16_lr1e-4,bigbench_analytic_entailment_multiple_choice,0.428571,0.059576
google_gemma-3-12b-it_uiortholora_trAll_uiortholora_s1024_v16_lr1e-4,bigbench_causal_judgment_multiple_choice,0.621053,0.035288
google_gemma-3-12b-it_uiortholora_trAll_uiortholora_s1024_v16_lr1e-4,bigbench_cause_and_effect_multiple_choice,0.869281,0.027342
google_gemma-3-12b-it_uiortholora_trAll_uiortholora_s1024_v16_lr1e-4,bigbench_common_morpheme_multiple_choice,0.560000,0.070912
google_gemma-3-12b-it_uiortholora_trAll_uiortholora_s1024_v16_lr1e-4,bigbench_conceptual_combinations_multiple_choice,0.834951,0.036757
google_gemma-3-12b-it_uiortholora_trAll_uiortholora_s1024_v16_lr1e-4,bigbench_logical_deduction_multiple_choice,0.324000,0.012088
google_gemma-3-12b-it_uiortholora_trAll_uiortholora_s1024_v16_lr1e-4,bigbench_logical_sequence_multiple_choice,0.871795,0.054234
google_gemma-3-12b-it_uiortholora_trAll_uiortholora_s1024_v16_lr1e-4,bigbench_odd_one_out_multiple_choice,0.848837,0.038853
google_gemma-3-12b-it_uiortholora_trAll_uiortholora_s1024_v16_lr5e-4,bigbench_analogical_similarity_multiple_choice,0.244582,0.023954
google_gemma-3-12b-it_uiortholora_trAll_uiortholora_s1024_v16_lr5e-4,bigbench_analytic_entailment_multiple_choice,0.428571,0.059576
google_gemma-3-12b-it_uiortholora_trAll_uiortholora_s1024_v16_lr5e-4,bigbench_causal_judgment_multiple_choice,0.584211,0.035850
google_gemma-3-12b-it_uiortholora_trAll_uiortholora_s1024_v16_lr5e-4,bigbench_cause_and_effect_multiple_choice,0.875817,0.026750
google_gemma-3-12b-it_uiortholora_trAll_uiortholora_s1024_v16_lr5e-4,bigbench_common_morpheme_multiple_choice,0.520000,0.071371
google_gemma-3-12b-it_uiortholora_trAll_uiortholora_s1024_v16_lr5e-4,bigbench_conceptual_combinations_multiple_choice,0.796117,0.039891
google_gemma-3-12b-it_uiortholora_trAll_uiortholora_s1024_v16_lr5e-4,bigbench_logical_deduction_multiple_choice,0.326667,0.012113
google_gemma-3-12b-it_uiortholora_trAll_uiortholora_s1024_v16_lr5e-4,bigbench_logical_sequence_multiple_choice,0.846154,0.058530
google_gemma-3-12b-it_uiortholora_trAll_uiortholora_s1024_v16_lr5e-4,bigbench_odd_one_out_multiple_choice,0.848837,0.038853
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr1e-4,bigbench_analogical_similarity_multiple_choice,0.226006,0.023308
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr1e-4,bigbench_analytic_entailment_multiple_choice,0.428571,0.059576
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr1e-4,bigbench_causal_judgment_multiple_choice,0.605263,0.035555
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr1e-4,bigbench_cause_and_effect_multiple_choice,0.843137,0.029498
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr1e-4,bigbench_common_morpheme_multiple_choice,0.560000,0.070912
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr1e-4,bigbench_conceptual_combinations_multiple_choice,0.825243,0.037602
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr1e-4,bigbench_logical_deduction_multiple_choice,0.309333,0.011938
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr1e-4,bigbench_logical_sequence_multiple_choice,0.871795,0.054234
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr1e-4,bigbench_odd_one_out_multiple_choice,0.860465,0.037584
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr5e-4,bigbench_analogical_similarity_multiple_choice,0.238390,0.023746
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr5e-4,bigbench_analytic_entailment_multiple_choice,0.428571,0.059576
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr5e-4,bigbench_causal_judgment_multiple_choice,0.600000,0.035635
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr5e-4,bigbench_cause_and_effect_multiple_choice,0.869281,0.027342
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr5e-4,bigbench_common_morpheme_multiple_choice,0.560000,0.070912
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr5e-4,bigbench_conceptual_combinations_multiple_choice,0.776699,0.041236
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr5e-4,bigbench_logical_deduction_multiple_choice,0.305333,0.011895
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr5e-4,bigbench_logical_sequence_multiple_choice,0.820513,0.062254
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr5e-4,bigbench_odd_one_out_multiple_choice,0.825581,0.041159
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr5e-5,bigbench_analogical_similarity_multiple_choice,0.260062,0.024446
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr5e-5,bigbench_analytic_entailment_multiple_choice,0.428571,0.059576
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr5e-5,bigbench_causal_judgment_multiple_choice,0.610526,0.035470
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr5e-5,bigbench_cause_and_effect_multiple_choice,0.862745,0.027912
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr5e-5,bigbench_common_morpheme_multiple_choice,0.560000,0.070912
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr5e-5,bigbench_conceptual_combinations_multiple_choice,0.844660,0.035866
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr5e-5,bigbench_logical_deduction_multiple_choice,0.316000,0.012008
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr5e-5,bigbench_logical_sequence_multiple_choice,0.897436,0.049216
google_gemma-3-12b-it_vera_trAll_vera_r1024_lr5e-5,bigbench_odd_one_out_multiple_choice,0.848837,0.038853
